start	end	text
390280	393480	So six years went on like this, without a word from them.
393480	398920	So finally, hurt and confused beyond my ability
398920	400960	to hold it in, and frankly, finding it really
400960	402440	difficult to maintain the illusion
402440	404120	that this was temporary.
404140	410740	I decided to make one more attempt to force the issue.
410740	414980	So I flew home and showed up unannounced at my mother's
414980	417700	office.
417700	418940	It was an amazing visit.
426660	430180	I asked the receptionist to page my mother
430180	432060	and tell her she had a surprise visitor.
435100	437860	And I stood there in the lobby, and I
437860	440180	remember seeing my mother come down this long hallway
440180	441740	toward me.
441740	445260	And she was walking, and then she sort of looked up,
445260	448260	and she saw me.
448260	451900	And then she recognized who it was,
451900	455180	and she turned and walked away again.
455180	460020	It was a really amazing 90-second visit.
460020	463060	Two and a half weeks later, a black funeral wreath
463060	465120	was delivered to me at my office with a note that
465120	470040	said, in memory of our son.
470040	472720	Clearly, it was time to give up hope and take up therapy.
476600	479680	So I talked to a counselor who asked me
479680	483720	why I had invited this turmoil into my life.
483720	486440	I talked to a minister who suggested a Christian youth
486440	486940	camp.
487940	493860	I talked to a lesbian who offered
493860	498700	to slash my mother's tires if I paid for her flight there.
498700	500240	I signed up for scream therapy, where
500240	501700	I beat pillows with tennis rackets
501700	503740	and screamed obscenities and pulled
503740	505180	a muscle in my shoulder.
505180	510260	Mostly I talked to friends, and mostly the pain persisted.
510260	513060	The sheer weight of it nearly crushed me,
513060	515740	or at least that's how it felt at the time.
515780	517700	Since it was my constant companion,
517700	522620	I spent most of my time turning it over in my mind,
522620	527120	fingering it like some sort of psychological worry stone.
527120	531680	Over the years, it's been eroded by so much handling.
531680	537500	All that remains now is a small, hard, nearly weightless pebble,
537500	538920	really.
538920	542680	Worn away is most of the anger and much of the hurt.
542680	544540	But one question remains.
544540	546420	How was it possible that they taught me
546420	549300	love and loyalty in excess of that which they themselves
549300	549800	possessed?
554580	556500	I have come to believe that it's not
556500	558580	possible to understand what they did.
558580	560900	Not possible for me, anyway.
560900	565060	To understand it would seem to indicate
565060	566820	that there was some justification for it,
566820	570020	and I know for certain that there is not.
570020	573900	Still, there's no escaping my parents.
573900	578100	This thing they did, this extreme and unfathomable
578100	580340	and many layered thing they did, tore a hole
580340	582420	in the middle of my life.
582420	586460	I have spent years and a lot of money
586460	589860	darning that hole while trying to keep the rest of my world
589860	592020	from unraveling.
592020	594500	And yet, their influence on me is enduring.
597420	601020	My parents loved me terribly.
601020	604940	I have been courageous in the face of bullies.
604940	608860	There is such a thing as too much patience,
608860	613660	but no such thing as too much forgiveness.
613660	618220	And love has seen me through every misfortune.
618220	619780	Thank you.
